product_id,product_name,storename,place,totalnum,price,shipping,delivery,availability
0,Milwaukee BLHX-0X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus (Solo) Σκέτο σώμα,ToolPoint,1,4,"352,00 €","+ 0,00 €","+ 0,00 €",Παράδοση έως 30 ημέρες
0,Milwaukee BLHX-0X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus (Solo) Σκέτο σώμα,Tripanaki,2,4,"352,45 €","+ 3,00 €","+ 2,50 €",Παράδοση 4 έως 10 ημέρες
0,Milwaukee BLHX-0X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus (Solo) Σκέτο σώμα,Electromed,3,4,"352,45 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
0,Milwaukee BLHX-0X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus (Solo) Σκέτο σώμα,Koufopoulos-ergaleia,4,4,"371,00 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
1,"Milwaukee BLHX-501X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, μία μπαταρία 5.0Ah(1x5.0Ah) και βαλίτσα μεταφοράς.",Tripanaki,1,5,"588,05 €","+ 2,00 €","+ 2,50 €",Παράδοση 4 έως 10 ημέρες
1,"Milwaukee BLHX-501X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, μία μπαταρία 5.0Ah(1x5.0Ah) και βαλίτσα μεταφοράς.",ToolPoint,2,5,"588,05 €","+ 0,00 €","+ 0,00 €",Παράδοση έως 30 ημέρες
1,"Milwaukee BLHX-501X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, μία μπαταρία 5.0Ah(1x5.0Ah) και βαλίτσα μεταφοράς.",Electromed,3,5,"588,05 €","+ 2,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
1,"Milwaukee BLHX-501X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, μία μπαταρία 5.0Ah(1x5.0Ah) και βαλίτσα μεταφοράς.",Ergalia,4,5,"599,00 €","+ 0,00 €","+ 0,00 €",Παράδοση 1 έως 3 ημέρες
1,"Milwaukee BLHX-501X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, μία μπαταρία 5.0Ah(1x5.0Ah) και βαλίτσα μεταφοράς.",Koufopoulos-ergaleia,5,5,"619,00 €","+ 2,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
2,"Milwaukee BLHX-502X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, δύο μπαταρίες 5.0Ah(2x5.0Ah) και βαλίτσα μεταφοράς.",Tripanaki,1,5,"588,05 €","+ 2,00 €","+ 2,50 €",Παράδοση 4 έως 10 ημέρες
2,"Milwaukee BLHX-502X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, δύο μπαταρίες 5.0Ah(2x5.0Ah) και βαλίτσα μεταφοράς.",ToolPoint,2,5,"588,05 €","+ 0,00 €","+ 0,00 €",Παράδοση έως 30 ημέρες
2,"Milwaukee BLHX-502X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, δύο μπαταρίες 5.0Ah(2x5.0Ah) και βαλίτσα μεταφοράς.",Electromed,3,5,"588,05 €","+ 2,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
2,"Milwaukee BLHX-502X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, δύο μπαταρίες 5.0Ah(2x5.0Ah) και βαλίτσα μεταφοράς.",Ergalia,4,5,"599,00 €","+ 0,00 €","+ 0,00 €",Παράδοση 1 έως 3 ημέρες
2,"Milwaukee BLHX-502X - Κρουστικό Σκαπτικό Μπαταρίας 18V με SDS Plus μαζί με ταχυφορτιστή, δύο μπαταρίες 5.0Ah(2x5.0Ah) και βαλίτσα μεταφοράς.",Koufopoulos-ergaleia,5,5,"619,00 €","+ 2,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
3,Benman 70102 - Πιστόλι Σιλικόνης Κλειστού Τύπου 600ml,Tripanaki,1,13,"45,00 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
3,Benman 70102 - Πιστόλι Σιλικόνης Κλειστού Τύπου 600ml,Atools,2,13,"45,00 €","+ 3,00 €","+ 1,00 €",Παράδοση 1 έως 3 ημέρες
3,Benman 70102 - Πιστόλι Σιλικόνης Κλειστού Τύπου 600ml,Μπουσούνης Δομικά Υλικά,3,13,"45,00 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
3,Benman 70102 - Πιστόλι Σιλικόνης Κλειστού Τύπου 600ml,Droutsas,4,13,"45,00 €","+ 3,20 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
3,Benman 70102 - Πιστόλι Σιλικόνης Κλειστού Τύπου 600ml,Τεχνικό Πολυκατάστημα Πασχαλίδη,5,13,"45,00 €","+ 2,50 €","+ 1,80 €",Παράδοση 1 έως 3 ημέρες
4,Makita 198116-4 - Σετ 2 Μπαταρίες Λιθίου 18V 6Ah με Φορτιστή 14.4-18V,Tripanaki,1,12,"278,99 €","+ 1,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
4,Makita 198116-4 - Σετ 2 Μπαταρίες Λιθίου 18V 6Ah με Φορτιστή 14.4-18V,Kappoutel,2,12,"279,00 €","+ 1,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
4,Makita 198116-4 - Σετ 2 Μπαταρίες Λιθίου 18V 6Ah με Φορτιστή 14.4-18V,Ιωαννίδης Μονωτικά,3,12,"296,00 €","+ 1,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
4,Makita 198116-4 - Σετ 2 Μπαταρίες Λιθίου 18V 6Ah με Φορτιστή 14.4-18V,Γ. Γεωργακόπουλος,4,12,"298,50 €","+ 0,00 €","+ 0,00 €",Παράδοση έως 30 ημέρες
4,Makita 198116-4 - Σετ 2 Μπαταρίες Λιθίου 18V 6Ah με Φορτιστή 14.4-18V,Kentrovidas,5,12,"301,00 €","+ 0,00 €","+ 0,00 €",Παράδοση 1 έως 3 ημέρες
5,Makita BL1860B - Μπαταρία 18 Volt 6.0Ah Lithium-Ion,Mmplanet,1,19,"109,05 €","+ 6,50 €","+ 3,50 €",Παράδοση 4 έως 10 ημέρες
5,Makita BL1860B - Μπαταρία 18 Volt 6.0Ah Lithium-Ion,BeQ,2,19,"109,07 €","+ 5,00 €","+ 3,00 €",Παράδοση 4 έως 10 ημέρες
5,Makita BL1860B - Μπαταρία 18 Volt 6.0Ah Lithium-Ion,Tripanaki,3,19,"112,99 €","+ 1,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
5,Makita BL1860B - Μπαταρία 18 Volt 6.0Ah Lithium-Ion,Kappoutel,4,19,"113,00 €","+ 1,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
5,Makita BL1860B - Μπαταρία 18 Volt 6.0Ah Lithium-Ion,Vidakatsavidi,5,19,"114,00 €","+ 2,50 €","+ 2,20 €",Παράδοση 1 έως 3 ημέρες
6,Makita BL1860B -  Twin Pack 2 Μπαταρίες 18 Volt 6.0Ah Lithium-Ion (197428-2),Tripanaki,1,4,"281,00 €","+ 1,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
6,Makita BL1860B -  Twin Pack 2 Μπαταρίες 18 Volt 6.0Ah Lithium-Ion (197428-2),Γ. Γεωργακόπουλος,2,4,"281,00 €","+ 0,00 €","+ 0,00 €",Παράδοση 1 έως 3 ημέρες
6,Makita BL1860B -  Twin Pack 2 Μπαταρίες 18 Volt 6.0Ah Lithium-Ion (197428-2),Skrekis,3,4,"281,83 €","+ 1,00 €","+ 2,50 €",Παράδοση 4 έως 10 ημέρες
6,Makita BL1860B -  Twin Pack 2 Μπαταρίες 18 Volt 6.0Ah Lithium-Ion (197428-2),Toolplanet,4,4,"297,90 €","+ 0,00 €","+ 1,90 €",Παράδοση έως 30 ημέρες
7,Makita 199563-2 -  Σύστημα Ανναρόφησης σκόνης DX06 LXT® Για DHR242,Tripanaki,1,1,"129,99 €","+ 0,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
8,Makita DLM382Z - Μηχανή γκαζόν μπαταρίας (SOLO),Marketree,1,15,"158,09 €","+ 5,90 €",Δεν υποστηρίζεται,Παράδοση έως 30 ημέρες
8,Makita DLM382Z - Μηχανή γκαζόν μπαταρίας (SOLO),Beboo,2,15,"188,05 €","+ 8,00 €","+ 2,50 €",Παράδοση έως 30 ημέρες
8,Makita DLM382Z - Μηχανή γκαζόν μπαταρίας (SOLO),Market24,3,15,"188,06 €","+ 9,92 €","+ 1,90 €",Παράδοση 4 έως 10 ημέρες
8,Makita DLM382Z - Μηχανή γκαζόν μπαταρίας (SOLO),Gatoulis,4,15,"188,06 €","+ 9,60 €","+ 3,00 €",Παράδοση 4 έως 10 ημέρες
8,Makita DLM382Z - Μηχανή γκαζόν μπαταρίας (SOLO),Tripanaki,9,15,"231,79 €","+ 12,10 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
9,Makita DUC353Z/KIT - Αλυσοπρίονο Μπαταρίας 36V (2x18V) 35CM με φορτιστή &amp; 2 μπαταρίες 3.0Ah (2×3.0Ah),Tripanaki,1,1,"595,20 €","+ 7,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
10,Nakayama Pro - Ψεκαστήρας Πλάτης Μπαταρίας 16lt (037538),Tripanaki,1,50,"48,00 €","+ 9,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
10,Nakayama Pro - Ψεκαστήρας Πλάτης Μπαταρίας 16lt (037538),NatureHome,2,50,"48,99 €","+ 9,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
10,Nakayama Pro - Ψεκαστήρας Πλάτης Μπαταρίας 16lt (037538),Alltimeoffers,3,50,"49,00 €","+ 4,00 €","+ 0,00 €",Παράδοση 1 έως 3 ημέρες
10,Nakayama Pro - Ψεκαστήρας Πλάτης Μπαταρίας 16lt (037538),e-tserpelis,4,50,"49,00 €","+ 4,90 €","+ 0,00 €",Παράδοση 1 έως 3 ημέρες
10,Nakayama Pro - Ψεκαστήρας Πλάτης Μπαταρίας 16lt (037538),ElectroStudio,5,50,"49,00 €","+ 5,00 €","+ 0,00 €",Παράδοση 4 έως 10 ημέρες
11,3M - Classic Ωτοασπίδες 5 ζευγάρια σε Κίτρινο Χρώμα (SP-01-002SP),Tripanaki,1,2,"4,00 €","+ 3,00 €","+ 2,50 €",Παράδοση 4 έως 10 ημέρες
11,3M - Classic Ωτοασπίδες 5 ζευγάρια σε Κίτρινο Χρώμα (SP-01-002SP),Electromed,2,2,"4,00 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
12,Benman 27347 - Τριβείο Στοκαρίσματος 130x290x15mm,Μπουσούνης Δομικά Υλικά,1,15,"3,54 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
12,Benman 27347 - Τριβείο Στοκαρίσματος 130x290x15mm,Market,2,15,"3,55 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
12,Benman 27347 - Τριβείο Στοκαρίσματος 130x290x15mm,Ergaleiara,3,15,"3,60 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
12,Benman 27347 - Τριβείο Στοκαρίσματος 130x290x15mm,Tripanaki,4,15,"4,10 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
12,Benman 27347 - Τριβείο Στοκαρίσματος 130x290x15mm,Tselcon - Tselis construction,5,15,"4,10 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
13,Benman 74213 - Ποτηροτρύπανο 44mm 1τμχ,E-karantonis,1,15,"7,36 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
13,Benman 74213 - Ποτηροτρύπανο 44mm 1τμχ,Tripanaki,2,15,"8,44 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
13,Benman 74213 - Ποτηροτρύπανο 44mm 1τμχ,Μπουσούνης Δομικά Υλικά,3,15,"8,49 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
13,Benman 74213 - Ποτηροτρύπανο 44mm 1τμχ,Tselcon - Tselis construction,4,15,"8,49 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
13,Benman 74213 - Ποτηροτρύπανο 44mm 1τμχ,Tsantirakis,5,15,"8,50 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
14,Benman 77201 - Πιστόλι Νερού 7 Σκάλες Λειτουργίας,Extreme Tools,1,26,"9,65 €","+ 2,48 €","+ 1,86 €",Παράδοση 1 έως 3 ημέρες
14,Benman 77201 - Πιστόλι Νερού 7 Σκάλες Λειτουργίας,Tools and Farm,2,26,"9,90 €","+ 2,90 €","+ 2,00 €",Παράδοση έως 30 ημέρες
14,Benman 77201 - Πιστόλι Νερού 7 Σκάλες Λειτουργίας,Tripanaki,3,26,"9,97 €","+ 3,00 €","+ 2,50 €",Παράδοση 4 έως 10 ημέρες
14,Benman 77201 - Πιστόλι Νερού 7 Σκάλες Λειτουργίας,E-Geoponos,4,26,"9,98 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
14,Benman 77201 - Πιστόλι Νερού 7 Σκάλες Λειτουργίας,Μπουσούνης Δομικά Υλικά,5,26,"10,30 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
15,Benman 74097 - Πένσα διάνοιξης οπών σε δέρμα,E-karantonis,1,13,"13,60 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
15,Benman 74097 - Πένσα διάνοιξης οπών σε δέρμα,Χρήστος Λέων Βαρελάς,2,13,"13,85 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
15,Benman 74097 - Πένσα διάνοιξης οπών σε δέρμα,Μπουσούνης Δομικά Υλικά,3,13,"13,90 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
15,Benman 74097 - Πένσα διάνοιξης οπών σε δέρμα,Tripanaki,4,13,"14,00 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
15,Benman 74097 - Πένσα διάνοιξης οπών σε δέρμα,dmktools,5,13,"14,80 €","+ 4,00 €","+ 2,00 €",Παράδοση 1 έως 3 ημέρες
16,Benman 70997 - Ξύστρα/πλάνη Γυψοσανίδας Αμφίδρομης Κοπής 25cm,E-karantonis,1,10,"9,76 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
16,Benman 70997 - Ξύστρα/πλάνη Γυψοσανίδας Αμφίδρομης Κοπής 25cm,Tripanaki,2,10,"11,00 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
16,Benman 70997 - Ξύστρα/πλάνη Γυψοσανίδας Αμφίδρομης Κοπής 25cm,Μπουσούνης Δομικά Υλικά,3,10,"11,00 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
16,Benman 70997 - Ξύστρα/πλάνη Γυψοσανίδας Αμφίδρομης Κοπής 25cm,dmktools,4,10,"11,00 €","+ 4,00 €","+ 2,00 €",Παράδοση 1 έως 3 ημέρες
16,Benman 70997 - Ξύστρα/πλάνη Γυψοσανίδας Αμφίδρομης Κοπής 25cm,Tehnobeton,5,10,"12,20 €","+ 3,00 €","+ 2,00 €",Παράδοση 1 έως 3 ημέρες
17,Benman 74368 - Κετσές για τροχό και για δίδυμο τροχό 120mm,E-karantonis,1,12,"3,52 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
17,Benman 74368 - Κετσές για τροχό και για δίδυμο τροχό 120mm,Tomara,2,12,"4,20 €","+ 2,00 €","+ 1,40 €",Παράδοση 1 έως 3 ημέρες
17,Benman 74368 - Κετσές για τροχό και για δίδυμο τροχό 120mm,Tripanaki,3,12,"4,20 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
17,Benman 74368 - Κετσές για τροχό και για δίδυμο τροχό 120mm,Kantarzoglou,4,12,"4,20 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
17,Benman 74368 - Κετσές για τροχό και για δίδυμο τροχό 120mm,Μπουσούνης Δομικά Υλικά,5,12,"4,20 €","+ 3,00 €","+ 2,50 €",Παράδοση 1 έως 3 ημέρες
18,Benman 74366 - Δίσκος Βαμβακερός (κετσές) Γυαλίσματος για Δράπανο 80mm,Tomara,1,21,"3,10 €","+ 2,00 €","+ 1,40 €",Παράδοση 1 έως 3 ημέρες
